temperature,loading,fug_CO2,fug_H2O,act_coeff_CO2,Henry_CO2,x_CO2,x_MEA,x_H2O,x_MEAH^+,x_MEACOO^-,x_HCO3^-,a_CO2,a_MEA,a_H2O,a_MEAH^+,a_MEACOO^-,a_HCO3^-,C_CO2,C_MEA,C_H2O,C_MEAH^+,C_MEACOO^-,C_HCO3^-,Pressure,K1,K2
40.0,0.003,1.6091626274854943e-06,6.442134894015925,1.1212535226644356,0.0014351461065305194,6.150462871307767e-12,0.11156800504794709,0.8877585570857538,0.0003367189300795246,0.00033491476129178397,1.8041687825051976e-06,6.896228160470653e-12,0.04301212997397613,0.8691182097197738,0.0003217354637371695,0.000320011577641883,2.1771037849949986e-06,2.675131616169478e-07,4852.628231430297,38612.8822054027,14.64552301942385,14.567051056158997,0.07847196303713998,6.449302989280286,8069954.692810721,2717.0437943105826
40.0,0.03737931034482759,0.00017274944567628866,6.459339815725523,1.1142941333188554,0.15503038247340067,6.643982845986395e-10,0.10387362255107066,0.887735496823757,0.004195439980386952,0.004170581156854614,2.4858823532338377e-05,7.403351107153752e-10,0.0395119653325353,0.8714393518567546,0.003063153929254536,0.0030450041277234217,2.261111419308793e-05,2.889807710919767e-05,4517.994738511221,38612.15393607198,182.48112746629624,181.39989017846156,1.0812372878346879,6.466095869708294,8069954.692810721,2717.0437943105826
40.0,0.07175862068965518,0.000623062794149883,6.477825607327939,1.107532678934956,0.5625683160419637,2.410943056351908e-09,0.09618439943734117,0.8877072802574469,0.00805415894713908,0.00800108137604534,5.307757109373925e-05,2.670198221961059e-09,0.036102991275603305,0.8739332980977234,0.005317239718023841,0.005282198670161717,4.305021989874001e-05,0.00010486216474049879,4183.468503203094,38610.16410920545,350.3096185270432,348.0010492767685,2.30856925027466,6.484463986856325,8069954.692810721,2717.0437943105826
40.0,0.10613793103448277,0.0014494908985538124,6.496542964040126,1.100789787680284,1.3167735700095413,5.643165469641217e-09,0.08850178402742372,0.8876724563056553,0.011912877011882152,0.011824981877362023,8.789513452012468e-05,6.211938919171065e-09,0.03277785859771234,0.8764584851395988,0.007366103235114378,0.00731175493334867,6.582607214425726e-05,0.0002454339589830279,3849.1416471423286,38606.87169343934,518.1178159020086,514.2950588064255,3.8227570955830115,6.5034537531405405,8069954.692810721,2717.0437943105826
40.0,0.14051724137931035,0.0028359732027920257,6.515191820388408,1.0940196102985136,2.592250793400498,1.1109351295577525e-08,0.08082774118708677,0.8876290596738112,0.015771594014879285,0.0156403070689259,0.0001312869459533847,1.2153848175057011e-08,0.0295350215371613,0.8789744306932685,0.009288485349410354,0.009211165525370603,9.229519220860442e-05,0.00048313603193670085,3515.1282112287968,38602.216305215545,685.8929155205257,680.1833603516062,5.709555168919427,6.522948784983361,8069954.692810721,2717.0437943105826
40.0,0.17489655172413793,0.005093893362793912,6.533607903045416,1.0872027711997772,4.685320436750333,2.007941160505082e-08,0.07316506932956911,0.8875742981270408,0.019630306231992415,0.019444263533438606,0.00018604269855381584,2.1830391941072216e-08,0.026374344125199286,0.8814589723944642,0.011122842080350685,0.011017427343985349,0.00012397273193529975,0.0008731516208312652,3181.57723592237,38596.09794655817,853.6223093094407,845.5322573208047,8.09005198863623,6.543096170058851,8069954.692810721,2717.0437943105826
40.0,0.20927586206896553,0.008758332683068512,6.5516692919824315,1.0803309956115865,8.10708266137484,3.474371750479926e-08,0.06551783380370885,0.8875041031391137,0.023489014156732112,0.02323279236287114,0.0002562217938609698,3.7534714923207493e-08,0.02329652508871674,0.8838956618268096,0.012892137977094984,0.012751508545091016,0.00016289095305346295,0.0015106444663386524,2848.692085652511,38588.36240177105,1021.2939720890885,1010.1535397217699,11.140432367318525,6.564309186061506,8069954.692810721,2717.0437943105826
40.0,0.24365517241379311,0.014785487906034601,6.569262024315242,1.0734030831498138,13.774404171308875,5.9031593399804456e-08,0.05789216305823284,0.8874123547478603,0.027347711581157553,0.026999765688910278,0.00034794589224727997,6.336469435859631e-08,0.02030311342902505,0.8862691240843873,0.014611754246348122,0.014425848385323669,0.00021201660906495213,0.002566299944137077,2516.7651128117714,38578.77020178028,1188.896092092171,1173.769725473718,15.126366618453464,6.5874303249371104,8069954.692810721,2717.0437943105826
40.0,0.2780344827586207,0.024978425142505624,6.586256438219733,1.0664245960586323,23.422589121465,1.00379859643513e-07,0.05029771220362822,0.8872894136386985,0.03120638688890685,0.03073553365559813,0.00047085323330872013,1.0704755127275556e-07,0.01739686252607663,0.8885618662934379,0.016292818276868504,0.01604698635173455,0.00027595340982700643,0.004363110787592098,2186.2402626006774,38566.919958962666,1356.416752925408,1335.9506471854936,20.466105739914326,6.614133449728046,8069954.692810721,2717.0437943105826
40.0,0.3124137931034483,0.04298028754035766,6.6024780102964336,1.0594102491355424,40.570012962805215,1.7386686782674415e-07,0.04275049902370595,0.8871192630257887,0.035065032041818704,0.034424093261239436,0.0006409387805792655,1.8419634176074743e-07,0.014582554323911218,0.8907503432368868,0.017943845313848815,0.017615857410668085,0.00036228614359011215,0.007555849799587664,1857.8372838833354,38552.14043668829,1523.8447591390782,1495.991050049353,27.853709089725037,6.6478879769285575,8069954.692810721,2717.0437943105826
