reaction,dcp_rxn_J_mol_K,offset_curvature_scales,objective,objective_delta,vle_n,speciation_n,vle_Aronu_2011_VLE_n,vle_Aronu_2011_VLE_pressure_mape_percent,vle_Aronu_2011_VLE_log_rmse,vle_Hilliard_2008_VLE_n,vle_Hilliard_2008_VLE_pressure_mape_percent,vle_Hilliard_2008_VLE_log_rmse,vle_Idris_2014_VLE_n,vle_Idris_2014_VLE_pressure_mape_percent,vle_Idris_2014_VLE_log_rmse,vle_Jou_1995_VLE_n,vle_Jou_1995_VLE_pressure_mape_percent,vle_Jou_1995_VLE_log_rmse,vle_Mamun_2005_VLE_n,vle_Mamun_2005_VLE_pressure_mape_percent,vle_Mamun_2005_VLE_log_rmse,speciation_Jakobsen_2005_ChEq_n,speciation_Jakobsen_2005_ChEq_mae,speciation_Jakobsen_2005_ChEq_rmse,speciation_Jakobsen_2005_ChEq_bias,speciation_Matin_2012_ChEq_n,speciation_Matin_2012_ChEq_mae,speciation_Matin_2012_ChEq_rmse,speciation_Matin_2012_ChEq_bias,params.reaction_MEA_bicarbonate_formation_combo.log_k_ref,params.reaction_MEA_bicarbonate_formation_combo.dh_rxn_ref,params.reaction_MEA_bicarbonate_formation_combo.dcp_rxn,params.reaction_MEA_carbamate_formation_combo.log_k_ref,params.reaction_MEA_carbamate_formation_combo.dh_rxn_ref,params.reaction_MEA_carbamate_formation_combo.dcp_rxn,vle_pressure_mape_percent,vle_log_rmse,speciation_mae,fit_heat_mae,external_40_80_mae,external_120_mae,external_120_rmse,external_120_bias
bicarbonate,-411.4067061001383,-2.0000000000000004,68.28739953746185,1.698863524143448,240,172,89,26.11224678134446,0.3357167328901312,55,40.61894637521928,0.4469983714919192,30,41.83990833636752,0.6811461568640468,47,86.6136002879576,0.6614835160273181,19,16.863384133579366,0.22667949579974697,96,0.005777995516601727,0.007968260710943406,0.002019460558468144,76,0.00330424546479345,0.0037128670539218946,-0.0003519858438207107,5.304930017781789,-70880.6467829409,-411.4067061001383,11.769055166676493,-100537.76396005518,-278.21583243283584,42.51863656808233,0.485114488609687,0.0046849431681283025,5.493516053725785,3.1230841876779185,2.0395990144418903,2.5588347120012,-1.3504335201414688
bicarbonate,-297.0584931833965,-1.0000000000000002,67.03424585049885,0.4457098371804449,240,172,89,26.05320763314548,0.33330562338762487,55,41.74648263918132,0.4549119769190018,30,41.789695072258745,0.6820967058676751,47,73.91786679698133,0.6049672321300087,19,16.803472899021155,0.218906320490736,96,0.005779543167621379,0.007976566183332623,0.002019442173555877,76,0.0032911018632918636,0.003697644550434145,-0.0003475752601704465,5.314834472163315,-67727.28778001992,-297.0584931833965,11.74528515393365,-101276.81495990594,-281.5411967614103,40.25786917171754,0.47142816392033243,0.00467999933547578,5.840217951289233,3.0794351796957256,4.085860020263466,4.506252149642066,-3.3263612592979137
bicarbonate,-182.71028026665465,0.0,66.5885360133184,0.0,240,172,89,26.045787466102805,0.3315133631181182,55,43.175111414923464,0.4653269335440685,30,41.75254089434123,0.6833621025644857,47,64.94144129510913,0.5563532054205533,19,17.758737935314155,0.21839431572290213,96,0.005775866413599589,0.007977759225642854,0.0020162588203208264,76,0.0032788107787029433,0.003683477651876544,-0.00034344958583387334,5.309228907735081,-64824.68981882747,-182.71028026665465,11.721141172257386,-101995.07766221349,-282.31472693907494,38.89560916989698,0.4616722252977522,0.0046725162493429315,6.30501978743321,3.362001045941117,6.4656913841885535,7.4725617281363155,-5.8401225797955805
bicarbonate,-68.36206734991283,1.0,67.07256199055503,0.48402597723662666,240,172,89,26.075734795339567,0.33076126447669907,55,44.9031952212861,0.4784153298287519,30,41.789624612626724,0.6849267391697101,47,58.87420300983093,0.5208910987005412,19,18.96263319669292,0.22560668070738904,96,0.005767087723822811,0.007972733574050464,0.0020101158648530583,76,0.003267422247275549,0.0036704102630934136,-0.00033962559370312825,5.289728927470086,-62147.64579261173,-68.36206734991283,11.697203321926509,-102654.22263542398,-279.6539211769632,38.21451018555824,0.45697619495830877,0.004662584373720533,6.8875196114045005,4.542884847746267,9.079143344632813,10.950267864755345,-8.825774563485748
bicarbonate,45.98614556682898,2.0,68.58784042109328,1.999304407774872,240,172,89,26.326870115370077,0.33140213571888855,55,46.93470707461272,0.49426081745592443,30,41.821040278953205,0.6867882228715028,47,56.21233633513511,0.5038661911436221,19,20.400295586311934,0.23969964193842364,96,0.005753225819068094,0.007962061930942189,0.002001123202125328,76,0.003256949021701329,0.0036584434755911038,-0.0003361078232316651,5.258576544806155,-59655.4749563888,45.98614556682898,11.673978319149505,-103236.50920216442,-273.519784732579,38.36965400679795,0.4581903299971009,0.00465021979232464,7.871302716818997,5.997435046510878,12.201477570353973,14.760814882426052,-12.201477570353973
carbamate,-527.2854894399879,-2.0000000000000004,68.39306118075334,1.8045251674349316,240,172,89,25.409909657456726,0.32917837048623083,55,42.28106944032497,0.46172241562348776,30,41.54884619932307,0.6868290221158707,47,72.67480625859524,0.6011741389557005,19,5.951543254944199,0.07981182914827613,96,0.005800588239212925,0.008022174165081048,0.0020326756159063206,76,0.003195312662090009,0.0035887205942260153,-0.00031562384716635753,5.381346380216327,-62909.37311454476,-177.2616850160976,11.751162048507776,-106651.50788901966,-527.2854894399879,39.00917241962137,0.46827944380351444,0.004649419960949311,6.856203108414648,5.13077350549427,8.070553540917743,8.961667478523136,0.050202815632179716
carbamate,-404.80010459533645,-1.0000000000000002,67.05465408798226,0.4661180746638536,240,172,89,25.61457733308258,0.329569960587345,55,42.737547853257965,0.4634822664296226,30,41.64242012799301,0.6852890500990049,47,68.5243897335322,0.5766459490567577,19,11.307984754903615,0.14293184807661127,96,0.00578583848128946,0.007995674731459278,0.002023021111421254,76,0.0032385770823213835,0.0036374456497052423,-0.0003300429194274697,5.343878462775477,-63906.81627492853,-181.6834924675538,11.740573556974132,-104238.06359335585,-404.80010459533645,38.81263810930213,0.46362244273573977,0.004660304374768683,6.262587037219305,3.962634786623186,6.57095823739139,7.210332462388312,-2.5959176568478335
carbamate,-282.31471975068496,0.0,66.58853601334904,3.063860276597552e-11,240,172,89,26.04578276404721,0.33151335208426513,55,43.17511379982255,0.46532698393322397,30,41.75253726075485,0.6833621648188678,47,64.94145105281561,0.5563532631380631,19,17.758749265865333,0.21839446396905587,96,0.00577586607815965,0.007977758659391307,0.002016258618288497,76,0.003278810936679407,0.003683477833848631,-0.0003434496385882966,5.309228723501917,-64824.69124451605,-182.71028772905336,11.721141419899014,-101995.07641592907,-282.31471975068496,38.89561032644526,0.46167226468992634,0.004672516131924194,6.305019341435072,3.36200076112884,6.465689931305418,7.472559999948818,-5.840121169955576
carbamate,-159.82933490603347,1.0000000000000002,67.08179713621107,0.4932611228926618,240,172,89,26.614242993067457,0.3354847144112128,55,43.586873492360006,0.46753874874558704,30,41.8782650143582,0.6810889878587764,47,62.30933068288319,0.5429676656190832,19,23.68645736267557,0.2955895350967924,96,0.005770460871323203,0.00796809254614876,0.0020122564173053288,76,0.003316093888729978,0.003726752035270125,-0.00035587068501261086,5.27771108687899,-65640.263932561,-179.89628020491998,11.693984509670738,-99898.68866674315,-159.82933490603347,39.17031187866623,0.46310701214999755,0.004685973134828522,6.818203250358439,3.794283012220622,9.570431168089355,10.034023206300345,-9.570431168089355
carbamate,-37.343950061382,2.0,68.61021092261414,2.02167490929574,240,172,89,27.44479240151977,0.34189571689772896,55,44.083300886824695,0.4703582184135391,30,42.01847315805969,0.6785086829637652,47,61.8522402150561,0.5391779776396629,19,29.114716369016076,0.37216730146212323,96,0.005769649304505907,0.007966333228216686,0.0020108904890366506,76,0.003350545875448859,0.003767269024997152,-0.00036734623114843904,5.2495826696505095,-66341.15818569137,-173.13664708754263,11.660207677771695,-97924.8297612242,-37.343950061382,39.94982153488062,0.468498772562417,0.0047007431381783735,7.769419034840782,4.520019520282036,13.68625817135844,13.898584909061123,-13.68625817135844
