MEA_weight_fraction,temperature,experiment,fit,CO2_loading,dH_abs,dH_abs_per_mol_MEA,CO2_pressure
0.3,40,1,0,0.06,84.03,4.69,-0.54
0.3,40,1,0,0.15,84.36,12.23,-0.87
0.3,40,1,0,0.23,85.44,19.19,-0.98
0.3,40,1,0,0.31,85.36,26.20,-1.41
0.3,40,1,0,0.39,85.76,32.83,-1.41
0.3,40,1,0,0.44,81.55,37.44,-1.41
0.3,40,1,0,0.51,71.30,42.05,3.80
0.3,40,1,0,0.56,48.60,44.60,28.54
0.3,40,1,0,0.61,40.24,46.60,91.96
0.3,40,1,0,0.65,36.67,48.23,192.83
0.3,40,1,0,0.69,35.51,49.45,308.14
0.3,80,1,0,0.06,88.55,5.67,-0.97
0.3,80,1,0,0.14,88.25,11.93,-1.19
0.3,80,1,0,0.20,88.52,18.12,-1.62
0.3,80,1,0,0.28,88.05,24.79,-0.76
0.3,80,1,0,0.36,88.27,31.43,1.62
0.3,80,1,0,0.45,85.55,39.28,18.14
0.3,80,1,0,0.50,73.71,43.02,61.19
0.3,80,1,0,0.55,58.94,46.30,214.20
0.3,80,1,0,0.58,51.05,47.80,380.96
0.3,120,1,0,0.07,99.08,6.98,1.26
0.3,120,1,0,0.16,96.95,16.06,7.65
0.3,120,1,0,0.25,100.77,24.27,21.32
0.3,120,1,0,0.33,99.28,32.30,54.28
0.3,120,1,0,0.40,95.55,39.60,145.30
0.3,120,1,0,0.46,86.05,44.91,357.11
0.3,120,1,0,0.48,79.74,45.88,430.36
