MEA_weight_fraction,temperature,CO2_loading,CO2_pressure
0.3,40,0.242,0.021
0.3,40,0.321,0.038
0.3,40,0.33,0.043
0.3,40,0.345,0.05
0.3,40,0.352,0.064
0.3,40,0.355,0.097
0.3,40,0.375,0.107
0.3,40,0.377,0.123
0.3,40,0.436,0.445
0.3,40,0.46,0.813
0.4,40,0.173,0.0343
0.4,40,0.242,0.0405
0.4,40,0.306,0.051
0.4,40,0.344,0.0765
0.4,40,0.394,0.0918
0.4,40,0.427,0.1725
0.4,40,0.449,0.3432
0.4,40,0.468,0.7496
0.4,40,0.481,2.0675
0.4,40,0.5,4.9754
0.5,40,0.178,0.0063
0.5,40,0.213,0.0108
0.5,40,0.235,0.0129
0.5,40,0.289,0.0238
0.5,40,0.338,0.0444
0.5,40,0.397,0.1642
0.5,40,0.425,0.4106
0.5,40,0.448,1.0214
0.5,40,0.471,2.2961
0.5,40,0.511,18.2548
