Description,Name,Value,Curvature_Scale,Relative_Curvature_Scale,Object,Object_Name
bic log K at 353.15 K,"$\ln K_{bic,ref}$",5.309228910495366,0.13753180635643678,0.025904290185070334,params.reaction_MEA_bicarbonate_formation_combo.log_k_ref,params.reaction_MEA_bicarbonate_formation_combo.log_k_ref
bic reaction enthalpy,"$\Delta H_{bic,ref}$",-64824.68992278605,3664.0078886733922,0.05652179583176817,params.reaction_MEA_bicarbonate_formation_combo.dh_rxn_ref,params.reaction_MEA_bicarbonate_formation_combo.dh_rxn_ref
bic reaction heat capacity,"$\Delta C_{p,bic}$",-182.71028026665462,114.34821291674182,0.625844439348774,params.reaction_MEA_bicarbonate_formation_combo.dcp_rxn,params.reaction_MEA_bicarbonate_formation_combo.dcp_rxn
car log K at 353.15 K,"$\ln K_{car,ref}$",11.721141173375184,0.11308466489320343,0.009647922776502138,params.reaction_MEA_carbamate_formation_combo.log_k_ref,params.reaction_MEA_carbamate_formation_combo.log_k_ref
car reaction enthalpy,"$\Delta H_{car,ref}$",-101995.07706216491,3248.1646551036692,0.031846288552965625,params.reaction_MEA_carbamate_formation_combo.dh_rxn_ref,params.reaction_MEA_carbamate_formation_combo.dh_rxn_ref
car reaction heat capacity,"$\Delta C_{p,car}$",-282.31471975068496,122.48538484465149,0.4338611353769283,params.reaction_MEA_carbamate_formation_combo.dcp_rxn,params.reaction_MEA_carbamate_formation_combo.dcp_rxn
