Description,Name,Value,Curvature_Scale,Relative_Curvature_Scale,Object,Object_Name
bic log K at 353.15 K,"$\ln K_{bic,ref}$",5.314958448544523,0.13927271456527426,0.02620391408768463,params.reaction_MEA_bicarbonate_formation_combo.log_k_ref,params.reaction_MEA_bicarbonate_formation_combo.log_k_ref
bic reaction enthalpy,"$\Delta H_{bic,ref}$",-67404.03635397748,2488.8559496750386,0.03692443486031934,params.reaction_MEA_bicarbonate_formation_combo.dh_rxn_ref,params.reaction_MEA_bicarbonate_formation_combo.dh_rxn_ref
bic reaction heat capacity,"$\Delta C_{p,bic}$",-284.78887228330444,,,params.reaction_MEA_bicarbonate_formation_combo.dcp_rxn,params.reaction_MEA_bicarbonate_formation_combo.dcp_rxn
car log K at 353.15 K,"$\ln K_{car,ref}$",11.742701718741035,0.10931361611280431,0.009309068622457022,params.reaction_MEA_carbamate_formation_combo.log_k_ref,params.reaction_MEA_carbamate_formation_combo.log_k_ref
car reaction enthalpy,"$\Delta H_{car,ref}$",-101355.75582464975,3071.1462437301225,0.030300659481473858,params.reaction_MEA_carbamate_formation_combo.dh_rxn_ref,params.reaction_MEA_carbamate_formation_combo.dh_rxn_ref
car reaction heat capacity,"$\Delta C_{p,car}$",-281.7710544077016,119.54733085543076,0.4242711555547317,params.reaction_MEA_carbamate_formation_combo.dcp_rxn,params.reaction_MEA_carbamate_formation_combo.dcp_rxn
