,params.reaction_MEA_bicarbonate_formation_combo.log_k_ref,params.reaction_MEA_bicarbonate_formation_combo.dh_rxn_ref,params.reaction_MEA_bicarbonate_formation_combo.dcp_rxn,params.reaction_MEA_carbamate_formation_combo.log_k_ref,params.reaction_MEA_carbamate_formation_combo.dh_rxn_ref,params.reaction_MEA_carbamate_formation_combo.dcp_rxn
params.reaction_MEA_bicarbonate_formation_combo.log_k_ref,0.9999999999999998,0.33925331424620575,-0.11397925587737244,-0.06328593648382064,-0.21166365394256328,-0.23155619671007432
params.reaction_MEA_bicarbonate_formation_combo.dh_rxn_ref,0.33925331424620564,1.0,0.7455752481682263,-0.15479361809974865,-0.25768460759422634,-0.2037214309258704
params.reaction_MEA_bicarbonate_formation_combo.dcp_rxn,-0.11397925587737243,0.7455752481682263,1.0000000000000002,-0.22031098896426768,-0.18136498929662248,0.053422001558847194
params.reaction_MEA_carbamate_formation_combo.log_k_ref,-0.06328593648382067,-0.15479361809974862,-0.2203109889642677,1.0,0.3279168525027137,-0.22595061365504387
params.reaction_MEA_carbamate_formation_combo.dh_rxn_ref,-0.21166365394256328,-0.25768460759422634,-0.18136498929662248,0.3279168525027137,0.9999999999999999,0.6566185914792603
params.reaction_MEA_carbamate_formation_combo.dcp_rxn,-0.23155619671007432,-0.2037214309258704,0.05342200155884723,-0.22595061365504387,0.6566185914792602,0.9999999999999999
